<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.12.28	17:10:00	685.65	688.68	685.56	685.86	296	0	20
2025.12.28	17:20:00	686.01	686.30	675.06	675.12	296	0	20
2025.12.28	17:30:00	674.97	677.95	673.95	677.82	290	0	20
2025.12.28	17:40:00	677.64	680.20	676.32	676.84	293	0	20
2025.12.28	17:50:00	676.73	680.18	673.76	679.31	292	0	20
2025.12.28	18:00:00	679.56	683.03	678.25	680.59	292	0	20
2025.12.28	18:10:00	680.52	684.41	679.06	682.28	293	0	20
2025.12.28	18:20:00	682.51	686.47	680.61	684.69	298	0	20
2025.12.28	18:30:00	684.47	688.04	683.74	686.92	297	0	20
2025.12.28	18:40:00	686.72	689.94	686.29	689.94	294	0	20
2025.12.28	18:50:00	689.94	693.35	689.00	691.35	296	0	20
2025.12.28	19:00:00	691.50	692.05	687.17	688.13	295	0	20
2025.12.28	19:10:00	688.29	688.50	683.06	684.58	293	0	20
2025.12.28	19:20:00	684.55	693.49	684.55	693.39	294	0	20
2025.12.28	19:30:00	693.43	693.62	689.48	691.57	295	0	20
2025.12.28	19:40:00	691.42	694.12	689.36	689.90	291	0	20
2025.12.28	19:50:00	689.71	689.97	687.35	688.57	294	0	20
2025.12.28	20:00:00	688.88	694.41	688.58	694.38	295	0	20
2025.12.28	20:10:00	694.47	698.09	694.28	695.74	289	0	20
2025.12.28	20:20:00	695.87	696.24	691.34	691.70	296	0	20
2025.12.28	20:30:00	691.64	693.52	689.57	691.53	297	0	20
2025.12.28	20:40:00	691.56	692.23	687.25	688.84	296	0	20
2025.12.28	20:50:00	688.67	689.50	682.51	682.62	294	0	20
2025.12.28	21:00:00	682.57	683.22	680.55	682.07	294	0	20
2025.12.28	21:10:00	682.23	684.60	680.95	681.67	293	0	20
2025.12.28	21:20:00	681.64	683.47	679.56	679.56	294	0	20
2025.12.28	21:30:00	679.60	680.19	677.31	677.74	293	0	20
2025.12.28	21:40:00	677.78	685.23	676.95	683.02	293	0	20
2025.12.28	21:50:00	683.09	684.80	678.37	678.79	294	0	20
2025.12.28	22:00:00	678.84	679.32	674.54	677.51	291	0	20
2025.12.28	22:10:00	677.13	680.60	675.86	679.47	294	0	20
2025.12.28	22:20:00	679.38	681.52	677.71	679.03	289	0	20
2025.12.28	22:30:00	679.01	679.16	672.17	673.62	290	0	20
2025.12.28	22:40:00	673.36	677.95	672.77	677.01	296	0	20
2025.12.28	22:50:00	677.12	681.35	676.03	681.30	297	0	20
2025.12.28	23:00:00	680.90	682.71	679.06	680.14	294	0	20
2025.12.28	23:10:00	679.85	682.75	679.22	680.30	296	0	20
2025.12.28	23:20:00	680.09	681.80	679.12	679.30	292	0	20
2025.12.28	23:30:00	679.24	680.16	677.60	679.78	299	0	20
2025.12.28	23:40:00	679.97	682.47	677.93	680.13	294	0	20
2025.12.28	23:50:00	680.16	680.41	674.91	676.41	289	0	20
2025.12.29	00:00:00	676.71	677.15	672.45	674.82	291	0	20
2025.12.29	00:10:00	674.62	676.38	673.46	673.46	291	0	20
2025.12.29	00:20:00	673.59	677.99	673.32	677.54	295	0	20
2025.12.29	00:30:00	677.48	678.22	672.24	675.87	294	0	20
2025.12.29	00:40:00	675.83	675.87	672.00	672.00	295	0	20
2025.12.29	00:50:00	672.21	677.37	671.21	677.37	287	0	20
2025.12.29	01:00:00	677.26	677.68	671.47	673.15	292	0	20
2025.12.29	01:10:00	672.90	673.59	670.12	671.39	288	0	20
2025.12.29	01:20:00	671.41	675.53	669.93	674.21	295	0	20
2025.12.29	01:30:00	674.07	675.94	670.48	670.48	296	0	20
2025.12.29	01:40:00	670.45	673.24	669.79	673.24	294	0	20
2025.12.29	01:50:00	673.32	676.52	671.97	674.98	296	0	20
2025.12.29	02:00:00	674.99	677.11	673.57	676.66	289	0	20
2025.12.29	02:10:00	676.52	676.52	670.90	670.93	292	0	20
2025.12.29	02:20:00	670.70	670.70	668.11	669.15	293	0	20
2025.12.29	02:30:00	669.01	673.85	668.47	673.14	291	0	20
2025.12.29	02:40:00	673.23	674.75	670.47	670.54	290	0	20
2025.12.29	02:50:00	670.68	672.07	669.67	671.66	294	0	20
2025.12.29	03:00:00	671.51	673.03	668.57	669.09	288	0	20
2025.12.29	03:10:00	669.05	673.12	667.20	671.96	294	0	20
2025.12.29	03:20:00	671.76	679.25	671.28	679.20	295	0	20
2025.12.29	03:30:00	679.28	680.20	674.20	679.31	291	0	20
2025.12.29	03:40:00	679.12	684.12	678.56	681.01	295	0	20
2025.12.29	03:50:00	681.12	681.90	677.82	679.97	292	0	20
2025.12.29	04:00:00	679.99	684.47	676.22	682.27	292	0	20
2025.12.29	04:10:00	682.52	684.64	678.72	681.02	297	0	20
2025.12.29	04:20:00	681.28	685.81	680.89	684.65	296	0	20
2025.12.29	04:30:00	684.87	688.28	684.23	686.79	297	0	20
2025.12.29	04:40:00	686.86	689.55	685.44	689.45	285	0	20
2025.12.29	04:50:00	689.53	691.24	688.15	689.87	289	0	20
2025.12.29	05:00:00	690.03	690.13	681.39	681.59	296	0	20
2025.12.29	05:10:00	681.46	684.72	679.70	684.72	294	0	20
2025.12.29	05:20:00	684.79	685.53	680.53	683.15	296	0	20
2025.12.29	05:30:00	682.97	684.44	675.90	677.00	293	0	20
2025.12.29	05:40:00	677.30	679.24	675.05	679.24	293	0	20
2025.12.29	05:50:00	678.97	678.97	674.44	675.11	296	0	20
2025.12.29	06:00:00	675.07	677.16	673.33	675.16	296	0	20
2025.12.29	06:10:00	674.98	676.53	673.67	674.73	290	0	20
2025.12.29	06:20:00	674.55	675.95	670.53	671.36	293	0	20
2025.12.29	06:30:00	671.16	671.35	667.68	669.49	290	0	20
2025.12.29	06:40:00	669.51	670.17	667.01	667.57	287	0	20
2025.12.29	06:50:00	667.63	669.60	665.24	666.34	296	0	20
